definition1,sensekey1,relation,sensekey2,definition2
be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,play%2:41:03::,event,play%1:04:06::,activity by children that is guided more by imagination than by fixed rules
act or have an effect in a specified way or with a specific effect or outcome,play%2:41:12::,event,play%1:04:08::,utilization or exercise
perform on a stage or theater,playact%2:36:00::,agent,playactor%1:18:00::,an actor who travels around the country presenting plays
"make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts",plead%2:32:03::,agent,pleader%1:18:00::,a lawyer who pleads cases in court
give pleasure to or be pleasing to,please%2:37:00::,agent,pleaser%1:18:00::,a pleasing entertainer
pleat or gather into a ruffle,pleat%2:35:00::,result,pleat%1:06:00::,any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
promise solemnly and formally,pledge%2:32:00::,event,pledge%1:10:00::,a binding commitment to do or give or refrain from something
promise solemnly and formally,pledge%2:32:00::,agent,pledger%1:18:00::,someone who makes or gives a pledge
bind or secure by a pledge,pledge%2:32:01::,by means of,pledge%1:10:00::,a binding commitment to do or give or refrain from something
give as a guarantee,pledge%2:32:02::,undergoer,pledge%1:21:02::,a deposit of personal property as security for a debt
propose a toast to,pledge%2:34:00::,event,pledge%1:13:00::,a drink in honor of or to the health of a person or event
"pay (an amount of money) as a contribution to a charity or service, especially at regular intervals",pledge%2:40:04::,agent,pledger%1:18:00::,someone who makes or gives a pledge
fold into pleats,plicate%2:35:00::,event,plication%1:04:00::,the act of folding in parallel folds
fold into pleats,plicate%2:35:00::,result,plication%1:25:00::,an angular or rounded shape made by folding
promise solemnly and formally,plight%2:32:00::,event,plight%1:10:00::,a solemn pledge of fidelity
"walk heavily and firmly, as when weary, or through mud",plod%2:38:00::,agent,plodder%1:18:00::,someone who moves slowly
"walk heavily and firmly, as when weary, or through mud",plod%2:38:00::,agent,plodder%1:18:01::,someone who works slowly and monotonously for long hours
"walk heavily and firmly, as when weary, or through mud",plod%2:38:00::,agent,plodder%1:18:02::,someone who walks in a laborious heavy-footed manner
set (something or oneself) down with or as if with a noise,plonk%2:35:00::,event,plonk%1:11:00::,the noise of something dropping (as into liquid)
drop with the sound of something falling into water,plop%2:38:00::,event,plop%1:11:00::,the noise of a rounded object dropping into a liquid without a splash
drop something with a plopping sound,plop%2:38:01::,event,plop%1:11:00::,the noise of a rounded object dropping into a liquid without a splash
"plan secretly, usually something illegal",plot%2:31:00::,event,plot%1:09:00::,a secret scheme to do something (especially something underhand or illegal)
"plan secretly, usually something illegal",plot%2:31:00::,agent,plotter%1:18:01::,a planner who draws up a personal scheme of action
make a plot of,plot%2:31:01::,result,plot%1:10:01::,a chart or graph showing the movements or progress of an object
make a schematic or technical drawing that shows interactions among variables or how something is constructed,plot%2:36:00::,instrument,plotter%1:06:00::,an instrument (usually driven by a computer) for drawing graphs or pictures
make a schematic or technical drawing that shows interactions among variables or how something is constructed,plot%2:36:00::,agent,plotter%1:18:02::,a clerk who marks data on a chart
to break and turn over earth especially with a plow,plough%2:36:00::,instrument,plough%1:06:00::,a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
to break and turn over earth especially with a plow,plow%2:36:00::,instrument,plow%1:06:00::,a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
to break and turn over earth especially with a plow,plow%2:36:00::,agent,plower%1:18:00::,a man who plows
pull lightly but sharply with a plucking motion,pluck%2:35:02::,event,pluck%1:04:00::,the act of pulling and releasing a taut cord
make a plug for; praise the qualities or in order to sell or promote,plug%2:32:00::,event,plug%1:10:00::,blatant or sensational promotion
make a plug for; praise the qualities or in order to sell or promote,plug%2:32:00::,agent,plugger%1:18:00::,someone who is an active supporter and advocate
fill or close tightly with or as if with a plug,plug%2:35:01::,instrument,plug%1:06:00::,blockage consisting of an object designed to fill a hole tightly
adjust with a plumb line so as to make vertical,plumb%2:30:00::,instrument,plumb%1:06:00::,the metal bob of a plumb line
weight with lead,plumb%2:35:00::,instrument,plumb%1:06:00::,the metal bob of a plumb line
clean with one's bill,plume%2:35:00::,uses,plume%1:05:00::,the light horny waterproof structure forming the external covering of birds
deck with a plume,plume%2:36:00::,uses,plume%1:05:00::,the light horny waterproof structure forming the external covering of birds
deck with a plume,plume%2:36:00::,uses,plume%1:06:00::,a feather or cluster of feathers worn as an ornament
drop sharply,plump%2:38:01::,event,plump%1:11:00::,the sound of a sudden heavy fall
steal goods; take as spoils,plunder%2:40:00::,undergoer,plunder%1:21:00::,goods or money obtained illegally
steal goods; take as spoils,plunder%2:40:00::,agent,plunderer%1:18:00::,someone who takes spoils or plunder (as in war)
plunder (a town) after capture,plunder%2:40:01::,undergoer,plunder%1:21:00::,goods or money obtained illegally
plunder (a town) after capture,plunder%2:40:01::,agent,plunderer%1:18:00::,someone who takes spoils or plunder (as in war)
take illegally; of intellectual property,plunder%2:40:02::,undergoer,plunder%1:21:00::,goods or money obtained illegally
"immerse briefly into a liquid so as to wet, coat, or saturate",plunge%2:35:00::,event,plunge%1:04:00::,a brief swim in water
"immerse briefly into a liquid so as to wet, coat, or saturate",plunge%2:35:00::,agent,plunger%1:06:01::,hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
thrust or throw into,plunge%2:35:01::,event,plunge%1:04:00::,a brief swim in water
thrust or throw into,plunge%2:35:01::,instrument,plunger%1:06:00::,mechanical device that has a plunging or thrusting motion
thrust or throw into,plunge%2:35:01::,instrument,plunger%1:06:01::,hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
thrust or throw into,plunge%2:35:01::,agent,plunger%1:18:01::,someone who dives (into water)
fall abruptly,plunge%2:38:00::,event,plunge%1:11:00::,a steep and rapid fall
fall abruptly,plunge%2:38:00::,agent,plunger%1:18:01::,someone who dives (into water)
drop steeply,plunge%2:38:01::,event,plunge%1:11:00::,a steep and rapid fall
make or move along with a sound as of a horse's hooves striking the ground,plunk%2:39:00::,event,plunk%1:11:00::,a hollow twanging sound
travel a route regularly,ply%2:38:00::,agent,plier%1:18:00::,someone who plies a trade
apply oneself diligently,ply%2:41:00::,agent,plier%1:18:00::,someone who plies a trade
apply oneself diligently,ply%2:41:00::,agent,plyer%1:18:00::,someone who plies a trade
cook in a simmering liquid,poach%2:30:00::,instrument,poacher%1:06:00::,a cooking vessel designed to poach food (such as fish or eggs)
hunt illegally,poach%2:33:00::,agent,poacher%1:18:00::,someone who hunts or fishes illegally on the property of another
mark with a scar,pock%2:35:00::,by means of,pock%1:26:00::,a pustule in an eruptive disease
"produce pods, of plants",pod%2:29:00::,result,pod%1:20:00::,a several-seeded dehiscent fruit as e.g. of a leguminous plant
"produce pods, of plants",pod%2:29:00::,result,pod%1:20:01::,the vessel that contains the seeds of a plant (not the seeds themselves)
take something out of its shell or pod,pod%2:30:00::,undergoer,pod%1:20:00::,a several-seeded dehiscent fruit as e.g. of a leguminous plant
take something out of its shell or pod,pod%2:30:00::,location,pod%1:20:01::,the vessel that contains the seeds of a plant (not the seeds themselves)
compose verses or put into verse,poetise%2:36:00::,agent,poetiser%1:18:00::,a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)
compose verses or put into verse,poetize%2:36:00::,agent,poetizer%1:18:00::,a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)
give a point to,point%2:30:00::,uses,point%1:06:00::,sharp end
give a point to,point%2:30:00::,uses,point%1:07:00::,the property of a shape that tapers to a sharp tip
give a point to,point%2:30:00::,uses,point%1:25:00::,a V shape
"indicate a place, direction, person, or thing; either spatially or figuratively",point%2:32:00::,by means of,pointer%1:06:00::,an indicator as on a dial
"indicate a place, direction, person, or thing; either spatially or figuratively",point%2:32:00::,by means of,pointer%1:06:01::,(computer science) indicator consisting of a movable spot of light (an icon) on a visual display; moving it allows the user to point to commands or screen positions
"indicate a place, direction, person, or thing; either spatially or figuratively",point%2:32:00::,by means of,pointer%1:10:00::,a mark to indicate a direction or relation
